Time stamp /home/r/Mysoftware/RWeb/src/main.cpp---198---Test log system !!
Time stamp /home/r/Mysoftware/RWeb/src/main.cpp---152---A new conection arrives!
Time stamp /home/r/Mysoftware/RWeb/src/requestData.cpp---522---Fd 6 The connection is closed by the client.
Time stamp /home/r/Mysoftware/RWeb/src/requestData.cpp---511---FD 10 readagaintime failed.
Time stamp /home/r/Mysoftware/RWeb/src/requestData.cpp---511---FD 8 readagaintime failed.
Time stamp /home/r/Mysoftware/RWeb/src/requestData.cpp---511---FD 6 readagaintime failed.
Time stamp /home/r/Mysoftware/RWeb/src/requestData.cpp---511---FD 6 readagaintime failed.
Time stamp /home/r/Mysoftware/RWeb/src/requestData.cpp---511---FD 6 readagaintime failed.
Time stamp /home/r/Mysoftware/RWeb/src/requestData.cpp---511---FD 7 readagaintime failed.
Time stamp /home/r/Mysoftware/RWeb/src/requestData.cpp---511---FD 6 readagaintime failed.
Time stamp /home/r/Mysoftware/RWeb/src/requestData.cpp---511---FD 6 readagaintime failed.
